classification,sample,redir_no,redir_time,node_depth,requests_no,port_80,domain_is_ip,domain_len_avg,domain_entropy_avg,uri_len_avg,uri_entropy_avg,uri_ch_slash_total,uri_ch_slash_avg,uri_ch_amp_total,uri_ch_amp_avg,uri_ch_dash_total,uri_ch_dash_avg,uri_ch_plus_total,uri_ch_plus_avg,response_len_total,response_len_avg,bytes_shockwave_total,bytes_shockwave_avg,bytes_x-dosexec_total,bytes_x-dosexec_avg,bytes_java_total,bytes_java_avg,bytes_silverlight_total,bytes_silverlight_avg,bytes_javascript_total,bytes_javascript_avg,bytes_xml_total,bytes_xml_avg,bytes_zip_total,bytes_zip_avg,bytes_image_total,bytes_image_avg,bytes_html_total,bytes_html_avg,redir_referrer,redir_location,redir_html,redir_js,redir_iframe,redir_subdomain,redir_concat,redir_base64,redir_unknown,tld
1,2013-07-31-Cool-EK-traffic,1,0.56,1,7,1,0,21.0,3.916126946588285,35.142857142857146,4.094955399500277,22,3.1428571428571432,0,0.0,2,0.2857142857142857,0,0.0,163985,23426.42857142857,0,0.0,144384,0.8804707747659847,19259,0.1174436686282282,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,342,0.0020855566057871146,0,1,1,0,0,0,0,0,0,com
1,2013-08-05-Styx-EK-traffic,0,0.0,0,2,1,0,30.0,3.7199025797939584,50.0,3.8595869951046176,3,1.5,4,2.0,0,0.0,1,0.5,18757,9378.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5430,0.2894919230154076,13327,0.7105080769845924,0,0,0,0,0,0,0,0,0,com
1,2013-08-05-Styx-EK-traffic,1,5.059,1,1,1,0,10.0,3.1219280948873616,12.0,3.4182958340544896,1,1.0,0,0.0,0,0.0,0,0.0,2969,2969.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2969,1.0,1,0,0,0,1,0,0,0,0,ir
1,2013-08-05-Styx-EK-traffic,2,4.746,2,7,1,0,17.0,3.734521664779752,309.14285714285717,5.352021104073684,150,21.428571428571427,1,0.14285714285714285,101,14.428571428571427,0,0.0,104269,14895.571428571431,0,0.0,38400,0.3682782034928886,30340,0.29097814307224584,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35529,0.3407436534348656,1,0,0,0,0,0,0,0,0,biz
1,2013-08-16-Styx-EK-traffic,0,0.0,0,50,1,0,19.08,3.4083901857035874,47.72,3.961991070046993,253,5.06,0,0.0,52,1.04,0,0.0,577344,11546.88,0,0.0,0,0.0,0,0.0,0,0.0,32803,0.056817079592062975,0,0.0,0,0.0,272736,0.4723977386099102,254855,0.44142660181798027,0,0,0,0,0,0,0,0,0,com
1,2013-08-16-Styx-EK-traffic,1,1.48,1,1,1,0,16.0,3.202819531114783,8.0,3.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,info
1,2013-08-16-Styx-EK-traffic,2,0.7070000000000001,2,1,1,0,18.0,3.4613201402110088,14.0,3.521640636343319,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,ru
1,2013-08-16-Styx-EK-traffic,3,6.232,3,6,1,0,13.0,3.1808329872054415,14.0,3.4713480294488686,11,1.8333333333333333,0,0.0,0,0.0,0,0.0,46453,7742.166666666668,0,0.0,21620,0.4654166576970271,20955,0.4511011129528771,0,0.0,0,0.0,1245,0.02680128301724324,0,0.0,0,0.0,2633,0.05668094633285256,0,1,0,0,0,0,0,0,0,ac.ir
1,2013-08-16-Styx-EK-traffic,4,3.7710000000000004,4,7,1,0,17.0,3.337175341123078,315.7142857142857,5.352824777289167,113,16.142857142857142,1,0.14285714285714285,129,18.428571428571427,0,0.0,95559,13651.285714285714,0,0.0,27136,0.2839711591791459,32446,0.3395389235969401,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35977,0.37648991722391395,1,0,0,0,0,0,0,0,0,biz
1,2013-08-23-g01pack-EK-traffic,0,0.0,0,1,1,0,11.0,3.2776134368191165,1.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,com
