classification,sample,redir_no,redir_time,node_depth,requests_no,port_80,domain_is_ip,domain_len_avg,domain_entropy_avg,uri_len_avg,uri_entropy_avg,uri_ch_slash_total,uri_ch_slash_avg,uri_ch_amp_total,uri_ch_amp_avg,uri_ch_dash_total,uri_ch_dash_avg,uri_ch_plus_total,uri_ch_plus_avg,response_len_total,response_len_avg,bytes_shockwave_total,bytes_shockwave_avg,bytes_x-dosexec_total,bytes_x-dosexec_avg,bytes_java_total,bytes_java_avg,bytes_silverlight_total,bytes_silverlight_avg,bytes_javascript_total,bytes_javascript_avg,bytes_xml_total,bytes_xml_avg,bytes_zip_total,bytes_zip_avg,bytes_image_total,bytes_image_avg,bytes_html_total,bytes_html_avg,redir_referrer,redir_location,redir_html,redir_js,redir_iframe,redir_subdomain,redir_concat,redir_base64,redir_unknown,tld
0,sportdog.gr[4],1,0.0,1,1,1,0,19.0,3.721611723969904,9.0,3.169925001442312,1,1.0,0,0.0,0,0.0,0,0.0,12623,12623.0,0,0.0,0,0.0,0,0.0,0,0.0,12623,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,com
0,hi.ru[8],0,0.0,0,25,1,0,5.0,2.3219280948873617,18.6,3.433094539556675,54,2.16,2,0.08,9,0.36,0,0.0,876088,35043.52,0,0.0,0,0.0,0,0.0,0,0.0,631452,0.7207632110016345,0,0.0,0,0.0,103688,0.11835340742025915,3810,0.004348878194884532,0,0,0,0,0,0,0,0,0,ru
0,hi.ru[8],1,0.41,1,2,1,0,18.0,3.350209029099897,50.0,4.641467880199451,10,5.0,0,0.0,2,1.0,0,0.0,43,21.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43,1.0,0,0.0,1,0,0,0,0,0,0,0,0,ru
1,2014-08-28-Nuclear-EK-traffic,0,0.0,0,14,1,0,19.0,3.2866294867861967,54.0,4.204981101689008,72,5.142857142857143,0,0.0,21,1.5,1,0.07142857142857142,261954,18711.0,0,0.0,0,0.0,0,0.0,0,0.0,5309,0.02026691709231392,0,0.0,0,0.0,108629,0.4146873115127083,7759,0.029619704222878827,0,0,0,0,0,0,0,0,0,ca
1,2014-08-28-Nuclear-EK-traffic,1,0.244,1,1,1,0,30.0,3.831401845392172,20.0,3.9219280948873614,1,1.0,0,0.0,0,0.0,0,0.0,366,366.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,366,1.0,1,0,0,1,1,0,0,0,0,com.ar
1,2014-08-28-Nuclear-EK-traffic,2,0.611,2,8,1,0,26.0,3.1189237381886405,36.625,3.645222692464531,29,3.625,0,0.0,0,0.0,0,0.0,405600,50700.0,5847,0.014415680473372782,245760,0.6059171597633136,25160,0.06203155818540434,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,119229,0.29395710059171604,0,1,1,0,0,0,0,0,0,info
0,hifi-forum.de[1],0,0.0,0,23,1,0,17.0,3.4548223999466066,33.56521739130435,3.817806186715983,68,2.9565217391304346,0,0.0,15,0.6521739130434783,0,0.0,377149,16397.782608695652,0,0.0,0,0.0,0,0.0,0,0.0,226500,0.6005583999957577,0,0.0,0,0.0,18577,0.049256394687510766,0,0.0,0,0,0,0,0,0,0,0,0,de
0,hifi-forum.de[1],1,0.0,1,2,1,0,12.0,3.084962500721156,23.5,3.5432130240073407,5,2.5,0,0.0,0,0.0,0,0.0,43,21.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43,1.0,0,0.0,1,0,0,0,0,0,0,0,0,com
0,ninjajournalist.com[5],0,0.0,0,14,1,0,19.0,3.576617644908667,52.35714285714285,4.2770192990604565,66,4.714285714285714,0,0.0,19,1.3571428571428572,0,0.0,616264,44018.857142857145,0,0.0,0,0.0,0,0.0,0,0.0,396194,0.6428965508288655,0,0.0,0,0.0,19556,0.03173315332390015,0,0.0,0,0,0,0,0,0,0,0,0,com
0,ninjajournalist.com[5],1,0.075,1,1,1,0,8.0,2.75,14.0,3.3787834934861767,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,io
0,7tian.tv[0],0,0.0,0,44,1,0,12.0,2.855388542207535,26.70454545454545,3.6263124621903886,107,2.4318181818181817,0,0.0,0,0.0,0,0.0,4697117,106752.65909090909,0,0.0,0,0.0,0,0.0,0,0.0,92798,0.019756373963007518,0,0.0,0,0.0,4494141,0.956787110050697,41609,0.00885841251133408,0,0,0,0,0,0,0,0,0,tv
0,7tian.tv[0],1,0.061,1,1,1,0,14.0,3.182005814760214,33.0,4.513794876803093,3,3.0,0,0.0,0,0.0,0,0.0,16247,16247.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16247,1.0,0,0.0,1,0,1,0,0,0,0,0,0,com
0,goo-2o.com[0],0,0.0,0,17,1,0,10.0,2.8464393446710146,44.411764705882355,3.973057167382409,87,5.117647058823528,0,0.0,28,1.6470588235294117,0,0.0,2703,159.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2703,1.0,0,0,0,0,0,0,0,0,0,com
